date,ticker,open,high,low,close,volume
2024-01-02,NESN.SW,104.16812741414738,104.83036092809807,103.29022595887832,104.19658987503882,2475893
2024-01-03,NESN.SW,102.36419240586841,102.57049800451996,101.97213566078534,102.1026286537102,3012563
2024-01-04,NESN.SW,102.80369734129874,103.46291418035682,102.57192958837453,102.74414125319757,3707212
2024-01-05,NESN.SW,103.53371833039668,103.8989098498048,103.27678250978535,103.5345463116305,3135652
2024-01-08,NESN.SW,102.80333366479384,103.4488011704962,101.68128127812714,103.23979712497986,4429407
2024-01-09,NESN.SW,103.80061198721754,104.00863308693155,102.64861779434088,103.64482891448677,3258832
2024-01-10,NESN.SW,105.5971268805215,105.95342004017313,104.57043799148671,105.44347535888055,3525923
2024-01-11,NESN.SW,107.01726850617375,107.94729033840848,105.72031989090564,106.5883783368176,1548993
2024-01-12,NESN.SW,107.84892215030541,108.16934296688214,106.91496716685914,107.36928638815753,3636115
2024-01-15,NESN.SW,108.35793917372365,109.14377898529054,107.39825499676395,108.13456032033179,4548095
2024-01-16,NESN.SW,106.69944094769268,108.04579940662339,106.02717537070288,107.22777909122726,2872654
2024-01-17,NESN.SW,107.82197088800869,109.54755547673393,106.58608706828983,108.28827976744145,3496701
2024-01-18,NESN.SW,106.17935602143359,107.17372370902649,105.54267858097785,106.53025981168307,2310706
2024-01-19,NESN.SW,106.29707995251219,107.30900693921292,105.22432940357987,106.2031141056802,1600164
2024-01-22,NESN.SW,105.51545537627496,105.91160712273691,104.99366203058595,105.76524520734225,2740562
2024-01-23,NESN.SW,104.37194688368398,105.21638615599274,102.80123622342676,103.96351447095128,4008416
2024-01-24,NESN.SW,103.95078440912938,105.17567149395325,102.79697838780349,103.87479316481418,2421918
2024-01-25,NESN.SW,105.72346437784307,105.88429204777411,104.35002890406344,105.60789742471599,1631053
2024-01-26,NESN.SW,105.51212751221657,106.67108834028431,104.90690168622321,105.27509806923963,2281984
2024-01-29,NESN.SW,104.13629932411874,104.41887963012083,102.93007225167553,104.0301112430115,2648743
